City,Area,Population,Density,HY,IXY,J
New York City,566.09,8138458,14376.58,1.46,0.59,0.15
San Francisco,120.9,865784,7161.16,1.37,0.27,0.1
Jersey City,98.89,675131,6827,1.36,0.41,0.12
Boston,144.14,792435,5497.78,1.38,0.47,0.13
Philadelphia,322.68,1587530,4919.82,1.31,0.56,0.14
Washington DC,151.83,649328,4276.81,1.21,0.42,0.08
Baltimore,197.9,636456,3216.08,1.03,0.42,0.13
Newark,326.92,814467,2491.31,1.33,0.57,0.11
Chicago,2424.73,5339823,2202.23,1.33,0.61,0.09
St. Louis,154.98,327119,2110.78,1.09,0.43,0.11
Denver,392.83,655630,1669,1.19,0.32,0.08
Milwaukee,623.39,984852,1579.84,1.24,0.51,0.08
Richmond,154.94,218368,1409.35,1.15,0.4,0.09
Detroit,1547.51,1831573,1183.56,1.12,0.57,0.08
Cleveland,1170.31,1298439,1109.49,1.05,0.43,0.07
Los Angeles,10213.77,10362048,1014.52,1.32,0.42,0.07
New Orleans,404.74,374563,925.44,1.05,0.43,0.11
Indianapolis,1026.6,945107,920.62,1.13,0.32,0.07
Columbus,1366.43,1239116,906.82,1.07,0.3,0.07
Fort Worth,2191.37,1934092,882.6,1.26,0.32,0.07
Oakland,1895.66,1654039,872.54,1.51,0.31,0.08
Minneapolis,1434.29,1226448,855.09,1.05,0.26,0.08
Atlanta,2049.89,1709484,833.94,1.22,0.49,0.06
Louisville,968.03,772972,798.5,0.97,0.3,0.07
Honolulu,1497.2,1193664,797.26,1.34,0.21,0.06
Charlotte,1328.52,994613,748.66,1.26,0.33,0.06
Virginia Beach,644.46,465399,722.15,1.17,0.18,0.06
Portland,1116.51,791565,708.96,1.05,0.16,0.06
Pittsburgh,1885.32,1256997,666.73,0.77,0.26,0.07
Omaha,850.77,546384,642.22,1,0.32,0.08
Sacramento,2498.4,1544707,618.28,1.42,0.23,0.06
Providence,1060.64,649804,612.65,1.1,0.34,0.09
San Antonio,3074.69,1843766,599.66,1.06,0.23,0.05
Houston,9346.26,5504749,588.98,1.33,0.39,0.06
San Jose,3340.3,1925402,576.42,1.35,0.28,0.07
Miami,4682.26,2636040,562.99,0.99,0.37,0.06
Memphis,1837.91,951626,517.78,1.07,0.43,0.07
Nashville,1289.03,663302,514.57,1.15,0.32,0.07
Tampa,2622.53,1318593,502.79,1.24,0.27,0.07
Dallas,9025.92,4304241,476.88,1.33,0.39,0.08
Jacksonville,1971.75,908151,460.58,1.19,0.28,0.06
Raleigh,2144.74,974156,454.21,1.16,0.26,0.05
Seattle,5478.25,2120525,387.08,1.21,0.22,0.07
El Paso,2598.7,841784,323.93,0.66,0.14,0.03
San Diego,10895.23,3337541,306.33,1.29,0.29,0.06
Austin,7221.01,1771292,245.3,1.17,0.25,0.04
Albuquerque,3005.14,698278,232.36,1.08,0.2,0.05
Oklahoma City,5529.85,1204037,217.73,1.18,0.27,0.06
Kansas City,5431.15,1132029,208.43,0.97,0.29,0.05
Wichita,2583.57,524013,202.82,1.07,0.26,0.06
Phoenix,20349.59,4065757,199.8,1.11,0.28,0.06
Colorado Springs,5467.87,681559,124.65,1.02,0.13,0.04
Las Vegas,17113.41,2094697,122.4,1.35,0.24,0.07
Fresno,14258.83,988258,69.31,1.21,0.27,0.06
Tucson,21431.04,1027714,47.95,1.08,0.25,0.04
Bakersfield,20884.2,887395,42.49,1.14,0.28,0.04
